InitiatingProcessFileName,ConnectionType,RemotePort,TotalConnections,SuccessfulConnections,UniqueIPs,FirstConnection
firefox.exe,Unknown TOR,,1,0,1,"Jul 26, 2025 12:01:03 PM"
firefox.exe,Local Proxy,52447,1,1,1,"Jul 26, 2025 12:01:03 PM"
tor.exe,Unknown TOR,,4,0,1,"Jul 26, 2025 12:01:09 PM"
tor.exe,Local Proxy,52450,1,1,1,"Jul 26, 2025 12:01:09 PM"
firefox.exe,Local Proxy,9151,1,1,1,"Jul 26, 2025 12:01:09 PM"
tor.exe,Local Proxy,52453,1,1,1,"Jul 26, 2025 12:01:11 PM"
tor.exe,Unknown TOR,443,4,4,2,"Jul 26, 2025 12:01:17 PM"
tor.exe,TOR Relay,9001,2,2,1,"Jul 26, 2025 12:01:24 PM"
,TOR Relay,9001,1,0,1,"Jul 26, 2025 12:01:24 PM"
firefox.exe,SOCKS Proxy,9150,1,1,1,"Jul 26, 2025 12:01:37 PM"
tor.exe,Unknown TOR,9100,1,0,1,"Jul 26, 2025 12:01:43 PM"
